Zone,Time Zone Name,GMT Offset
ACDT,Australian Central Daylight Savings Time,+10:30
ACST,Australian Central Standard Time,+09:30
ACT,Acre Time,-5
ACT,ASEAN Common Time,+06:30 - +09
ADT,Atlantic Daylight Time,-3
AEDT,Australian Eastern Daylight Savings Time,11
AEST,Australian Eastern Standard Time,10
AFT,Afghanistan Time,+04:30
AKDT,Alaska Daylight Time,-8
AKST,Alaska Standard Time,-9
AMST,Amazon Summer Time (Brazil)[1],-3
AMT,Amazon Time (Brazil)[2],-4
AMT,Armenia Time,4
ART,Argentina Time,-3
AST,Arabia Standard Time,3
AST,Atlantic Standard Time,-4
AWST,Australian Western Standard Time,8
AZOST,Azores Summer Time,±00
AZOT,Azores Standard Time,-1
AZT,Azerbaijan Time,4
BDT,Brunei Time,8
BIOT,British Indian Ocean Time,6
BIT,Baker Island Time,-12
BOT,Bolivia Time,-4
BRST,Brasilia Summer Time,-2
BRT,Brasilia Time,-3
BST,Bangladesh Standard Time,6
BST,Bougainville Standard Time[3],11
BST,British Summer Time (British Standard Time from Feb 1968 to Oct 1971),1
BTT,Bhutan Time,6
CAT,Central Africa Time,2
CCT,Cocos Islands Time,+06:30
CDT,Central Daylight Time (North America),-5
CDT,Cuba Daylight Time[4],-4
CEST,Central European Summer Time (Cf. HAEC),2
CET,Central European Time,1
CHADT,Chatham Daylight Time,+13:45
CHAST,Chatham Standard Time,+12:45
CHOT,Choibalsan Standard Time,8
CHOST,Choibalsan Summer Time,9
CHST,Chamorro Standard Time,10
CHUT,Chuuk Time,10
CIST,Clipperton Island Standard Time,-8
CIT,Central Indonesia Time,8
CKT,Cook Island Time,-10
CLST,Chile Summer Time,-3
CLT,Chile Standard Time,-4
COST,Colombia Summer Time,-4
COT,Colombia Time,-5
CST,Central Standard Time (North America),-6
CST,China Standard Time,8
ACST,Central Standard Time (Australia),+09:30
ACDT,Central Summer Time (Australia),+10:30
CST,Cuba Standard Time,-5
CT,China time,8
CVT,Cape Verde Time,-1
CWST,Central Western Standard Time (Australia) unofficial,+08:45
CXT,Christmas Island Time,7
DAVT,Davis Time,7
DDUT,Dumont d'Urville Time,10
DFT,AIX specific equivalent of Central European Time[5],1
EASST,Easter Island Summer Time,-5
EAST,Easter Island Standard Time,-6
EAT,East Africa Time,3
ECT,Eastern Caribbean Time (does not recognise DST),-4
ECT,Ecuador Time,-5
EDT,Eastern Daylight Time (North America),-4
AEDT,Eastern Summer Time (Australia),11
EEST,Eastern European Summer Time,3
EET,Eastern European Time,2
EGST,Eastern Greenland Summer Time,±00
EGT,Eastern Greenland Time,-1
EIT,Eastern Indonesian Time,9
EST,Eastern Standard Time (North America),-5
AEST,Eastern Standard Time (Australia),10
FET,Further-eastern European Time,3
FJT,Fiji Time,12
FKST,Falkland Islands Summer Time,-3
FKT,Falkland Islands Time,-4
FNT,Fernando de Noronha Time,-2
GALT,Galapagos Time,-6
GAMT,Gambier Islands,-9
GET,Georgia Standard Time,4
GFT,French Guiana Time,-3
GILT,Gilbert Island Time,12
GIT,Gambier Island Time,-9
GMT,Greenwich Mean Time,±00
GST,South Georgia and the South Sandwich Islands,-2
GST,Gulf Standard Time,4
GYT,Guyana Time,-4
HADT,Hawaii-Aleutian Daylight Time,-9
HAEC,Heure Avancée d'Europe Centrale francised name for CEST,2
HAST,Hawaii-Aleutian Standard Time,-10
HKT,Hong Kong Time,8
HMT,Heard and McDonald Islands Time,5
HOVST,Khovd Summer Time,8
HOVT,Khovd Standard Time,7
ICT,Indochina Time,7
IDT,Israel Daylight Time,3
IOT,Indian Ocean Time,3
IRDT,Iran Daylight Time,+04:30
IRKT,Irkutsk Time,8
IRST,Iran Standard Time,+03:30
IST,Indian Standard Time,+05:30
IST,Irish Standard Time[6],1
IST,Israel Standard Time,2
JST,Japan Standard Time,9
KGT,Kyrgyzstan time,6
KOST,Kosrae Time,11
KRAT,Krasnoyarsk Time,7
KST,Korea Standard Time,9
LHST,Lord Howe Standard Time,+10:30
LHST,Lord Howe Summer Time,11
LINT,Line Islands Time,14
MAGT,Magadan Time,12
MART,Marquesas Islands Time,#VALUE!
MAWT,Mawson Station Time,5
MDT,Mountain Daylight Time (North America),-6
MET,Middle European Time Same zone as CET,1
MEST,Middle European Summer Time Same zone as CEST,2
MHT,Marshall Islands,12
MIST,Macquarie Island Station Time,11
MIT,Marquesas Islands Time,#VALUE!
MMT,Myanmar Standard Time,+06:30
MSK,Moscow Time,3
MST,Malaysia Standard Time,8
MST,Mountain Standard Time (North America),-7
MUT,Mauritius Time,4
MVT,Maldives Time,5
MYT,Malaysia Time,8
NCT,New Caledonia Time,11
NDT,Newfoundland Daylight Time,#VALUE!
NFT,Norfolk Time,11
NPT,Nepal Time,+05:45
NST,Newfoundland Standard Time,#VALUE!
NT,Newfoundland Time,#VALUE!
NUT,Niue Time,-11
NZDT,New Zealand Daylight Time,13
NZST,New Zealand Standard Time,12
OMST,Omsk Time,6
ORAT,Oral Time,5
PDT,Pacific Daylight Time (North America),-7
PET,Peru Time,-5
PETT,Kamchatka Time,12
PGT,Papua New Guinea Time,10
PHOT,Phoenix Island Time,13
PHT,Philippine Time,8
PKT,Pakistan Standard Time,5
PMDT,Saint Pierre and Miquelon Daylight time,-2
PMST,Saint Pierre and Miquelon Standard Time,-3
PONT,Pohnpei Standard Time,11
PST,Pacific Standard Time (North America),-8
PST,Philippine Standard Time,8
PYST,Paraguay Summer Time (South America)[7],-3
PYT,Paraguay Time (South America)[8],-4
RET,Réunion Time,4
ROTT,Rothera Research Station Time,-3
SAKT,Sakhalin Island time,11
SAMT,Samara Time,4
SAST,South African Standard Time,2
SBT,Solomon Islands Time,11
SCT,Seychelles Time,4
SGT,Singapore Time,8
SLST,Sri Lanka Standard Time,+05:30
SRET,Srednekolymsk Time,11
SRT,Suriname Time,-3
SST,Samoa Standard Time,-11
SST,Singapore Standard Time,8
SYOT,Showa Station Time,3
TAHT,Tahiti Time,-10
THA,Thailand Standard Time,7
TFT,Indian/Kerguelen,5
TJT,Tajikistan Time,5
TKT,Tokelau Time,13
TLT,Timor Leste Time,9
TMT,Turkmenistan Time,5
TRT,Turkey Time,3
TOT,Tonga Time,13
TVT,Tuvalu Time,12
ULAST,Ulaanbaatar Summer Time,9
ULAT,Ulaanbaatar Standard Time,8
USZ1,Kaliningrad Time,2
,Coordinated Universal Time,±00
UYST,Uruguay Summer Time,-2
UYT,Uruguay Standard Time,-3
UZT,Uzbekistan Time,5
VET,Venezuelan Standard Time,-4
VLAT,Vladivostok Time,10
VOLT,Volgograd Time,4
VOST,Vostok Station Time,6
VUT,Vanuatu Time,11
WAKT,Wake Island Time,12
WAST,West Africa Summer Time,2
WAT,West Africa Time,1
WEST,Western European Summer Time,1
WET,Western European Time,±00
WIT,Western Indonesian Time,7
WST,Western Standard Time,8
YAKT,Yakutsk Time,9
YEKT,Yekaterinburg Time,5
